,disease.filename,disease.name,disease.summary
301,Diplopia.2,Diplopia ,"Diplopia, commonly known as double vision, is the simultaneous perception of two images of a single object that may be displaced horizontally, vertically, diagonally (i.e., both vertically and horizontally), or rotationally in relation to each other.[1] It is usually the result of impaired function of the extraocular muscles (EOMs), where both eyes are still functional but they cannot converge to target the desired object.[1] Problems with EOMs may be due to mechanical problems, disorders of the neuromuscular junction, disorders of the cranial nerves (III, IV, and VI) that stimulate the muscles, and occasionally disorders involving the supranuclear oculomotor pathways or ingestion of toxins.[2]"
302,Discoid_lupus_erythematosus,Discoid lupus erythematosus ,"Discoid lupus erythematosus (DLE) is a chronic skin condition of sores with inflammation and scarring favoring the face, ears, and scalp and at times on other body areas. These lesions develop as a red, inflamed patch with a scaling and crusty appearance. The center areas may appear lighter in color with a rim darker than the normal skin."
303,Dissociative_amnesia,Psychogenic amnesia ,"Psychogenic amnesia, or dissociative amnesia, is a memory disorder characterized by sudden retrograde autobiographical memory loss, said to occur for a period of time ranging from hours to years.[1] More recently, ""dissociative amnesia"" has been defined as a dissociative disorder ""characterized by retrospectively reported memory gaps. These gaps involve an inability to recall personal information, usually of a traumatic or stressful nature.""[2] In a change from the DSM-IV to the DSM-5, dissociative fugue is now subsumed under dissociative amnesia.[3]"
304,Dissociative_hysteria,Dissociative disorder ,"Dissociative disorders (DD) are conditions that involve disruptions or breakdowns of memory, awareness, identity, or perception. People with dissociative disorders use dissociation, a defense mechanism, pathologically and involuntarily. Dissociative disorders are thought to primarily be caused by psychological trauma."
305,Dissociative_identity_disorder,Dissociative identity disorder ,"Dissociative identity disorder (DID), previously known as multiple personality disorder (MPD),[1] is a mental disorder on the dissociative spectrum characterized by at least two distinct and relatively enduring identities or dissociated personality states that alternately control a person's behavior, and is accompanied by memory impairment for important information not explained by ordinary forgetfulness. These symptoms are not accounted for by substance abuse, seizures, other medical conditions, nor by imaginative play in children.[2] Diagnosis is often difficult as there is considerable comorbidity with other mental disorders. Malingering should be considered if there is possible financial or forensic gain, as well as factitious disorder if help-seeking behavior is prominent.[2][3][4][5]"
306,Distomatosis,Fasciolosis ,"Fasciolosis also known as fascioliasis, fasciolasis, distomatosis and liver rot, is an important helminth disease caused by two trematodes Fasciola hepatica (the common liver fluke) and Fasciola gigantica. This disease belongs to the plant-borne trematode zoonoses. In Europe, the Americas and Oceania only F. hepatica is a concern, but the distributions of both species overlap in many areas of Africa and Asia.[1]"
307,Double_discordia,Transposition of the great vessels ,"Transposition of the great vessels (TGV) is a group of congenital heart defects involving an abnormal spatial arrangement of any of the great vessels: superior and/or inferior venae cavae, pulmonary artery, pulmonary veins, and aorta. Congenital heart diseases involving only the primary arteries (pulmonary artery and aorta) belong to a sub-group called transposition of the great arteries."
308,Duodenal_atresia,Duodenal atresia ,"Duodenal atresia, also known as duodenojejunal atresia, is the congenital absence or complete closure of a portion of the lumen of the duodenum. It causes increased levels of amniotic fluid during pregnancy (polyhydramnios) and intestinal obstruction in newborn babies. Radiography shows a distended stomach and distended duodenum, which are separated by the pyloric valve, a finding described as the ""double-bubble sign."""
309,Dysautonomia,Dysautonomia ,"Dysautonomia (or autonomic dysfunction, autonomic neuropathy) is an umbrella term for various conditions in which the autonomic nervous system (ANS) malfunctions. Dysautonomia is a type of neuropathy affecting the nerves that carry information from the brain and spinal cord to the heart, bladder, intestines, sweat glands, pupils, and blood vessels. Dysautonomia may be experienced in a number of ways, depending on the organ system involved, for example difficulty adapting to changes in posture, or digestive symptoms."
310,Dysbarism,Dysbarism ,"Dysbarism refers to medical conditions resulting from changes in ambient pressure. Various activities are associated with pressure changes. Scuba diving is the most frequently cited example, but pressure changes also affect people who work in other pressurized environments (for example, caisson workers), and people who move between different altitudes."
311,Dyscalculia,Dyscalculia ,"Dyscalculia is difficulty in learning or comprehending arithmetic, such as difficulty in understanding numbers, learning how to manipulate numbers, and learning facts in mathematics. It is generally seen as a specific developmental disorder."
312,Dysgerminoma,Dysgerminoma ,A dysgerminoma is a type of germ cell tumor;[1] it usually is malignant and usually occurs in the ovary.
313,Dyskeratosis_follicularis,Darier's disease ,"Darier's disease (DAR), also known as Darier disease, Darier–White disease,[1]Dyskeratosis follicularis[1] and Keratosis follicularis,[2]:523[3]:567 is an autosomal dominant disorder discovered by French dermatologist Ferdinand-Jean Darier. Darier's is characterized by dark crusty patches on the skin, sometimes containing pus. The crusty patches are also known as keratotic papules, keratosis follicularis or dyskeratosis follicularis.[4][5]"
314,Dysmorphophobia,Body dysmorphic disorder ,"Body dysmorphic disorder (also known as BDD, body dysmorphia, dysmorphic syndrome, or dysmorphophobia), is a disorder that involves belief that one's own appearance is unusually defective and is worthy of being hidden or fixed.[1] This belief manifests in thoughts that many times are pervasive and intrusive."
315,Dyspareunia,Dyspareunia ,"Dyspareunia is painful sexual intercourse due to medical or psychological causes. The symptoms are significantly more common in women than in men. The pain can primarily be on the external surface of the genitalia or deeper in the pelvis upon deep pressure against the cervix. It can affect a small portion of the vulva or vagina or be felt all over the surface. Understanding the duration, location, and nature of the pain is important in identifying the causes of the pain."
316,Dystonia,Dystonia ,"Dystonia is a neurological movement disorder in which sustained muscle contractions cause twisting and repetitive movements or abnormal postures.[1] The movements may resemble a tremor. Dystonia is often initiated or worsened by voluntary movements, and symptoms may “overflow” into adjacent muscles.[2]"
317,Dystonia_musculorum_deformans,Dystonia ,"Dystonia is a neurological movement disorder in which sustained muscle contractions cause twisting and repetitive movements or abnormal postures.[1] The movements may resemble a tremor. Dystonia is often initiated or worsened by voluntary movements, and symptoms may “overflow” into adjacent muscles.[2]"
318,Dystrophic_epidermolysis_bullosa,Epidermolysis bullosa dystrophica ,"Epidermolysis bullosa dystrophica or Dystrophic EB (DEB) is an inherited disease affecting the skin and other organs. ""Butterfly children"" is the term given to those born with the disease, as their skin is seen to be as delicate and fragile as that of a butterfly."
319,Ebola_virus_disease,Ebola virus disease ,"Ebola virus disease (EVD; also Ebola hemorrhagic fever, or EHF), or simply Ebola, is a disease of humans and other primates caused by ebolaviruses. Signs and symptoms typically start between two days and three weeks after contracting the virus with a fever, sore throat, muscular pain, and headaches. Then, vomiting, diarrhea and rash usually follow, along with decreased function of the liver and kidneys. At this time some people begin to bleed both internally and externally.[1] The disease has a high risk of death, killing between 25 and 90 percent of those infected, with an average of about 50 percent.[1] This is often due to low blood pressure from fluid loss, and typically follows six to sixteen days after symptoms appear.[2]"
320,Ectodermal_dysplasia,Ectodermal dysplasia ,"Ectodermal dysplasia is not a single disorder, but a group of syndromes all deriving from abnormalities of the ectodermal structures.[1]:570 More than 150 different syndromes have been identified.[2]"
321,Ectopia_lentis,Ectopia lentis ,Ectopia lentis is a displacement or malposition of the eye's crystalline lens from its normal location. A partial dislocation of a lens is termed lens subluxation or subluxated lens; a complete dislocation of a lens is termed lens luxation or luxated lens.
322,Ectrodactyly8093ectodermal_dysplasia8093cleft_syndrome,Ectrodactyly–ectodermal dysplasia–cleft syndrome ,"Ectrodactyly–ectodermal dysplasia–cleft syndrome, or EEC, and also referred to as EEC syndrome[1] (also known as ""Split hand–split foot–ectodermal dysplasia–cleft syndrome""[2]:520) is a rare form of ectodermal dysplasia, an autosomal dominant disorder inherited as an genetic trait.[3]:571 EEC is characterized by the triad of ectrodactyly, ectodermal dysplasia, and facial clefts.[4] Other features noted in association with EEC include vesicoureteral reflux, recurrent urinary tract infections,[5] obstruction of the nasolacrimal duct,[6] decreased pigmentation of the hair and skin, missing or abnormal teeth, enamel hypoplasia, absent punctae in the lower eyelids, photophobia, occasional cognitive impairment and kidney anomalies, and conductive hearing loss.[7][8]"
323,Eec_syndrome,Ectrodactyly–ectodermal dysplasia–cleft syndrome ,"Ectrodactyly–ectodermal dysplasia–cleft syndrome, or EEC, and also referred to as EEC syndrome[1] (also known as ""Split hand–split foot–ectodermal dysplasia–cleft syndrome""[2]:520) is a rare form of ectodermal dysplasia, an autosomal dominant disorder inherited as an genetic trait.[3]:571 EEC is characterized by the triad of ectrodactyly, ectodermal dysplasia, and facial clefts.[4] Other features noted in association with EEC include vesicoureteral reflux, recurrent urinary tract infections,[5] obstruction of the nasolacrimal duct,[6] decreased pigmentation of the hair and skin, missing or abnormal teeth, enamel hypoplasia, absent punctae in the lower eyelids, photophobia, occasional cognitive impairment and kidney anomalies, and conductive hearing loss.[7][8]"
324,Ehlers8093Danlos_syndrome,Ehlers–Danlos syndrome ,"Ehlers–Danlos syndrome (EDS) is an inherited connective tissue disorder with different presentations that have been classified into several primary types. EDS is caused by a defect in the structure, production, or processing of collagen or proteins that interact with collagen, such as mutations in the COL5A or COL3A genes. (This is the collagen of granulation tissue, and is produced quickly by young fibroblasts before the tougher type I collagen is synthesized. Commonly associated with keloid formation, Reticular fiber, Also found in artery walls, skin, intestines and the uterus.--COL3A1.) The collagen in connective tissue helps tissues resist deformation. Collagen is an important contributor to the physical strength of skin, joints, muscles, ligaments, blood vessels and visceral organs; abnormal collagen renders these structures more elastic. In some cases, the severity of the mutation can be life-threatening. EDS can have neuromuscular complications [1] including ocular and ophthalmic complications [2]"
325,Ehrlichiosis,Ehrlichiosis ,"Ehrlichiosis is a tickborne[1] bacterial infection,[2] caused by bacteria of the family Anaplasmataceae, genera Ehrlichia and Anaplasma. These obligate intracellular bacteria infect and kill white blood cells."
326,Elective_mutism,Elective mutism ,"Elective mutism is the former name for selective mutism. Elective mutism was defined as a refusal to speak in almost all social situations (despite normal ability to do so), while selective mutism is considered to be a failure to speak in specific situations and is strongly associated with social anxiety disorder. In contrast to selective mutism, someone who is electively mute may not speak in any situation, as is usually shown in books and movies. Elective mutism is often attributed to defiance or the effect of trauma."
327,Elephant_man_in_context_of_NF,Proteus syndrome ,"Proteus syndrome, also known as Wiedemann syndrome (named after the German paediatrician Hans-Rudolf Wiedemann), is a congenital disorder[1]:554 that causes skin overgrowth and atypical bone development, often accompanied by tumors over half the body.[2]:776"
328,Elephantiasis,Elephantiasis ,"Elephantiasis is a symptom of a variety of diseases, where parts of a person's body swell to massive proportions."
329,Emetophobia,Emetophobia ,"Emetophobia is an intense, irrational fear or anxiety pertaining to vomiting. This specific phobia can also include subcategories of what causes the anxiety, including a fear of vomiting in public, a fear of seeing vomit, a fear of watching the action of vomiting or fear of being nauseated.[1]"
330,Enchondromatosis_benign,Enchondromatosis ,Enchondromatosis is a form of osteochondrodysplasia characterized by a proliferation of enchondromas.
331,Endocardial_fibroelastosis,Endocardial fibroelastosis ,"Endocardial Fibroelastosis (EFE) is a rare heart disorder usually occurring in children two years old and younger.[1] It may also be considered a reaction to stress, not necessarily a specific disease.[2]"
332,Endocarditis_infective,Endocarditis ,"Endocarditis is an inflammation of the inner layer of the heart, the endocardium. It usually involves the heart valves. Other structures that may be involved include the interventricular septum, the chordae tendineae, the mural endocardium, or the surfaces of intracardiac devices. Endocarditis is characterized by lesions, known as vegetations, which is a mass of platelets, fibrin, microcolonies of microorganisms, and scant in<U+FB02>ammatory cells.[1] In the subacute form of infective endocarditis, the vegetation may also include a center of granulomatous tissue, which may fibrose or calcify.[2]"
333,Endomyocardial_fibrosis,Hypereosinophilic syndrome ,"The hypereosinophilic syndrome (HES) is a disease characterized by a persistently elevated eosinophil count (= 1500 eosinophils/mm³) in the blood for at least six months without any recognizable cause, with involvement of either the heart, nervous system, or bone marrow.[1]"
334,Entomophthoramycosis,Entomophthoramycosis ,Entomophthoramycosis (or Entomophthoromycosis[1]:) is a mycosis caused by Entomophthorales.[2]
335,Epicondylitis,Epicondylitis ,Epicondylitis is a type of musculoskeletal disorder that refers to an inflammation of an epicondyle.
336,Epidermolysis_bullosa,Epidermolysis bullosa ,"Epidermolysis bullosa (EB) is a group of inherited connective tissue diseases that cause blisters in the skin and mucosal membranes, with an incidence of 1 in 50,000. It is a result of a defect in anchoring between the epidermis and dermis, resulting in friction and skin fragility. Its severity ranges from mild to lethal."
337,Epididymitis,Epididymitis ,"Epididymitis (i/<U+02CC><U+025B>p<U+026A><U+02CC>d<U+026A>d<U+0259>'ma<U+026A>t<U+026A>s/, ep'i-did'<U+0259>-mi'tis, EP-i-DID-i-MEYE-tis) is a medical condition characterized by discomfort or pain of the epididymis, a curved structure at the back of the testicle in which sperm matures and is stored. Epididymitis is usually characterized as either acute or chronic: if acute, the onset of testicular pain is often accompanied by inflammation, redness, and warmth in the scrotum; if chronic, pain may be the only symptom. In either form, testicular pain in one or both testes can vary from mild to severe, and one or both epididymides may noticeably swell (inflame) and/ or harden (indurate). The pain is often cyclical and may last from less than an hour to several days.[1]"
338,Epilepsy,Epilepsy ,"Epilepsy (from Ancient Greek: <U+1F10>p<U+03B9><U+03BB>aµß<U+03AC><U+03BD>e<U+03B9><U+03BD> ""to seize, possess, or afflict"")[1] is a group of neurological disorders characterized by epileptic seizures.[2][3] Epileptic seizures are episodes that can vary from brief and nearly undetectable to long periods of vigorous shaking.[4] In epilepsy, seizures tend to recur, and have no immediate underlying cause[2] while seizures that occur due to a specific cause are not deemed to represent epilepsy.[5]"
339,Equinophobia,Equinophobia ,"Equinophobia or hippophobia is a psychological fear of horses, derived from the Greek word 'Phobos', meaning fear and the Latin word 'Equus', meaning horse. The term hippophobia is also derived from the Greek word 'Phobos' and the prefix is derived from the Greek word for horse, 'Hippos'.[1][2]"
340,Erb8093Duchenne_palsy,Erb's palsy ,"Erb's palsy or Erb–Duchenne palsy is a paralysis of the arm caused by injury to the upper group of the arm's main nerves, specifically the severing of the upper trunk C5–C6 nerves. These form part of the brachial plexus, comprising the ventral rami of spinal nerves C5–C8 and thoracic nerve T1.[1][2][3] These injuries arise most commonly, but not exclusively, from shoulder dystocia during a difficult birth.[4] Depending on the nature of the damage, the paralysis can either resolve on its own over a period of months, necessitate rehabilitative therapy, or require surgery.[5]"
341,Erdheim8093Chester_disease,Erdheim–Chester disease ,"Erdheim–Chester disease (also known as Erdheim–Chester syndrome or polyostotic sclerosing histiocytosis) is a rare disease characterized by the abnormal multiplication of a specific type of white blood cells called histiocytes, or tissue macrophages (technically, this disease is termed a non-Langerhans-cell histiocytosis). Usually, onset is in middle age. The disease involves an infiltration of lipid-laden macrophages, multinucleated giant cells, an inflammatory infiltrate of lymphocytes and histiocytes in the bone marrow, and a generalized sclerosis of the long bones.[1]"
342,Erythema_multiforme,Erythema multiforme ,"Erythema multiforme is a skin condition of unknown cause, possibly mediated by deposition of immune complex (mostly IgM) in the superficial microvasculature of the skin and oral mucous membrane that usually follows an infection or drug exposure. It is an uncommon disorder, with peak incidence in the second and third decades of life."
343,Erythema_nodosum,Erythema nodosum ,"Erythema nodosum (EN) is an inflammatory condition characterised by inflammation of the fat cells under the skin, resulting in tender red nodules or lumps that are usually seen on both shins. It can be caused by a variety of conditions, and typically resolves spontaneously within 3–6 weeks. It is common in young people between 12–20 years of age."
344,Erythromelalgia,Erythromelalgia ,"Erythromelalgia, formerly known as Mitchell's disease (after Silas Weir Mitchell), acromelalgia, red neuralgia, or erythermalgia,[1] is a rare neurovascular peripheral pain disorder in which blood vessels, usually in the lower extremities or hands, are episodically blocked (frequently on and off daily), then become hyperemic and inflamed. There is severe burning pain (in the small fiber sensory nerves) and skin redness. The attacks are periodic and are commonly triggered by heat, pressure, mild activity, exertion, insomnia or stress. Erythromelalgia may occur either as a primary or secondary disorder (i.e. a disorder in and of itself or a symptom of another condition). Secondary erythromelalgia can result from small fiber peripheral neuropathy of any cause, polycythemia vera, essential thrombocytosis,[2]hypercholesterolemia, mushroom or mercury poisoning, and some autoimmune disorders. Primary erythromelalgia is caused by mutation of the voltage-gated sodium channel a-subunit gene SCN9A."
345,Erythroplakia,Erythroplakia ,"Erythroplakia (or erythroplasia)[1]:734 is a clinical term to describe any erythematous (red) area on a mucous membrane,[2] that cannot be attributed to any other pathology.[3]:805"
346,Esophageal_atresia,Esophageal atresia ,Esophageal atresia (or Oesophageal atresia) is a congenital medical condition (birth defect) which affects the alimentary tract. It causes the esophagus to end in a blind-ended pouch rather than connecting normally to the stomach. It comprises a variety of congenital anatomic defects that are caused by an abnormal embryological development of the esophagus. It is characterized anatomically by a congenital obstruction of the esophagus with interruption of the continuity of the esophageal wall.[clarification needed]
347,Esophageal_disorder,Esophagus ,"The esophagus (American English) or oesophagus (British English), commonly known as the foodpipe or gullet, is an organ in vertebrates which consists of a fibromuscular tube through which food passes, aided by peristaltic contractions, from the pharynx to the stomach. In humans, the esophagus is usually 18–25 centimeters (cm) long. During swallowing the epiglottis tilts backwards to prevent food from going down the larynx. The esophagus travels behind the trachea and heart, passes through the diaphragm and empties into the cardia of the stomach. The word esophagus derives from the Greek word oisophagos, which means ""to carry to eat.""[1]"
348,Esophageal_neoplasm,Esophageal cancer ,"Esophageal cancer (or oesophageal cancer) is cancer arising from the esophagus—the food pipe that runs between the throat and the stomach.[1] Symptoms often include difficulty in swallowing and weight loss. Other symptoms may include pain when swallowing, a hoarse voice, enlarged lymph nodes (glands) around the collarbone, a dry cough, and possibly coughing up or vomiting blood.[2]"
349,Essential_mixed_cryoglobulinemia,Cryoglobulinemia ,"Cryoglobulinemia[1] is a medical condition in which the blood contains large amounts of cryoglobulins – proteins (mostly immunoglobulins themselves) that become insoluble at reduced temperatures. This should be contrasted with cold agglutinins, which cause agglutination of red blood cells. Cryoglobulins typically precipitate at temperatures below normal body temperature (37°C) and will dissolve again if the blood is heated. Cryoglobulinemia can be associated with various diseases such as multiple myeloma and hepatitis C infection.[2] Cryoglobulins usually consist of IgM directed against the Fc region of IgG.[3]"
350,Essential_thrombocytosis,Essential thrombocythaemia ,"Essential thrombocythaemia (ET; also known as essential thrombocytosis, essential thrombocythemia, primary thrombocytosis) is a rare chronic blood disorder characterised by the overproduction of platelets by megakaryocytes in the bone marrow.[1] It may, albeit rarely, develop into acute myeloid leukaemia or myelofibrosis.[1] It is one of four myeloproliferative disorders (disorders characterised by increased production of a particular line of blood cell).[1] It is an indolent condition. "
351,Esthesioneuroblastoma,Esthesioneuroblastoma ,"Esthesioneuroblastoma is a rare form of cancer involving nasal cavity and believed to arise from the olfactory epithelium. It can cause loss of vision, and taste.[1][2] It is often considered synonymous with ""olfactory neuroblastoma"",[3] but the tissue of origin is not yet well characterized. Associated with Trisomy 8."
352,Ethylmalonic_adipic_aciduria,Organic acidemia ,"Organic acidemia, also called organic aciduria, is a term used to classify a group of metabolic disorders which disrupt normal amino acid metabolism, particularly branched-chain amino acids, causing a buildup of acids which are usually not present.[1]"
353,Eunuchoidism_familial,Hypogonadism ,"Hypogonadism is a medical term which describes a diminished functional activity of the gonads – the testes and ovaries in males and females, respectively – that may result in diminished sex hormone biosynthesis. In layman's terms, it is sometimes called ""interrupted stage 1 puberty"". Low androgen (e.g., testosterone) levels are referred to as hypoandrogenism and low estrogen (e.g., estradiol) as hypoestrogenism, and may occur as symptoms of hypogonadism in both sexes, but are generally only diagnosed in males and females respectively. Other hormones produced by the gonads which may be decreased by hypogonadism include progesterone, DHEA, anti-Müllerian hormone, activin, and inhibin. Spermatogenesis and ovulation in males and females, respectively, may be impaired by hypogonadism, which, depending on the degree of severity, may result in partial or complete infertility."
354,Exencephaly,Exencephaly ,"Exencephaly is a type of cephalic disorder wherein the brain is located outside of the skull. This condition is usually found in embryos as an early stage of anencephaly. As an exencephalic pregnancy progresses, the neural tissue gradually degenerates."
355,Exophoria,Exophoria ,"Exophoria is a form of heterophoria in which there is a tendency of the eyes to deviate outward.[1] During examination, when the eyes are dissociated by prisms, the visual axes will appear to diverge away from one another.[2]"
356,Exophthalmos,Exophthalmos ,"Exophthalmos (also called exophthalmus, exophthalmia, proptosis, or exorbitism) is a bulging of the eye anteriorly out of the orbit. Exophthalmos can be either bilateral (as is often seen in Graves' disease) or unilateral (as is often seen in an orbital tumor). Complete or partial dislocation from the orbit is also possible from trauma or swelling of surrounding tissue resulting from trauma."
357,Exostoses,Exostosis ,"An exostosis (plural: exostoses) is the formation of new bone on the surface of a bone, because of excess calcium forming.[1] Exostoses can cause chronic pain ranging from mild to debilitatingly severe, depending on the shape, size, and location of the lesion. It is most commonly found in places like the ribs, where small bone growths form, but sometimes larger growths can grow on places like the ankles, knees, shoulders, elbows and hips. Very rarely are they on the skull."
358,Experimental_allergic_encephalomyelitis,Experimental autoimmune encephalomyelitis ,"The experimental autoimmune encephalomyelitis, sometimes experimental allergic encephalomyelitis (EAE) is an animal model of brain inflammation. It is an inflammatory demyelinating disease of the central nervous system (CNS). It is mostly used with rodents and is widely studied as an animal model of the human CNS demyelinating diseases, including multiple sclerosis and acute disseminated encephalomyelitis (ADEM). EAE is also the prototype for T-cell-mediated autoimmune disease in general."
359,Exploding_head_syndrome,Exploding head syndrome ,"Exploding head syndrome (EHS) is a form of hypnagogic auditory hallucination and is a rare and relatively undocumented parasomnia event in which a person experiences a loud bang in their head similar to a bomb exploding, a clash of cymbals, ringing, an earthquake, or any other form of loud, indecipherable noise that seems to originate from inside the head."
360,Exstrophy_of_the_bladderepispadias,Bladder exstrophy ,"Bladder exstrophy (also known as Ectopia vesicae) is a congenital anomaly that exists along the spectrum of the exstrophy-epispadias complex and most notably involves protrusion of the urinary bladder through a defect in the abdominal wall. Its presentation is variable, often including abnormalities of the bony pelvis, pelvic floor, and genitalia. The underlying embryologic mechanism leading to bladder exstrophy is unknown, though it is thought to be in part due to failed reinforcement of the cloacal membrane by underlying mesoderm.[1]"
361,Extrapyramidal_disorder,Movement disorder ,Movement disorders include: (There are 25 disorders and 18 sub-disorders in this page.)
362,Faces_syndrome,FACES syndrome ,"FACES syndrome is a syndrome of unique facial features, anorexia, cachexia, eye and skin anomalies.[1]"
363,Factor_VII_deficiency,Factor VII ,"1BF9, 1CVW, 1DAN, 1DVA, 1F7E, 1F7M, 1FAK, 1FF7, 1FFM, 1J9C, 1JBU, 1KLI, 1KLJ, 1NL8, 1O5D, 1QFK, 1W0Y, 1W2K, 1W7X, 1W8B, 1WQV, 1WSS, 1WTG, 1WUN, 1WV7, 1YGC, 1Z6J, 2A2Q, 2AEI, 2AER, 2B7D, 2B8O, 2BZ6, 2C4F, 2EC9, 2F9B, 2FIR, 2FLB, 2FLR, 2PUQ, 2ZP0, 2ZWL, 2ZZU, 3ELA, 3TH2, 3TH3, 3TH4, 4IBL, 4ISH, 4ISI, 4JYU, 4JYV, 4JZD, 4JZE, 4JZF, 4NA9, 4NG9, 4NGA, 4X8S, 4X8T, 4X8U, 4X8V, 4YT6, 4YT7"
364,Factor_X_deficiency_congenital,Factor X ,"1C5M, 1EZQ, 1F0R, 1F0S, 1FAX, 1FJS, 1FXY, 1G2L, 1G2M, 1HCG, 1IOE, 1IQE, 1IQF, 1IQG, 1IQH, 1IQI, 1IQJ, 1IQK, 1IQL, 1IQM, 1IQN, 1KSN, 1LPG, 1LPK, 1LPZ, 1LQD, 1MQ5, 1MQ6, 1MSX, 1NFU, 1NFW, 1NFX, 1NFY, 1NL8, 1P0S, 1V3X, 1WU1, 1XKA, 1XKB, 1Z6E, 2BMG, 2BOH, 2BOK, 2BQ6, 2BQ7, 2BQW, 2CJI, 2D1J, 2EI6, 2EI7, 2EI8, 2FZZ, 2G00, 2GD4, 2H9E, 2J2U, 2J34, 2J38, 2J4I, 2J94, 2J95, 2JKH, 2P16, 2P3F, 2P3T, 2P3U, 2P93, 2P94, 2P95, 2PHB, 2PR3, 2Q1J, 2RA0, 2UWL, 2UWO, 2UWP, 2VH0, 2VH6, 2VVC, 2VVU, 2VVV, 2VWL, 2VWM, 2VWN, 2VWO, 2W26, 2W3I, 2W3K, 2WYG, 2WYJ, 2XBV, 2XBW, 2XBX, 2XBY, 2XC0, 2XC4, 2XC5, 2Y5F, 2Y5G, 2Y5H, 2Y7X, 2Y7Z, 2Y80, 2Y81, 2Y82, 3CEN, 3CS7, 3ENS, 3FFG, 3HPT, 3IIT, 3K9X, 3KL6, 3KQB, 3KQC, 3KQD, 3KQE, 3LIW, 3M36, 3M37, 3Q3K, 3SW2, 3TK5, 3TK6, 4A7I, 4BTI, 4BTT, 4BTU"
365,Fairbank_disease,Multiple epiphyseal dysplasia ,"Fairbanks disease or multiple epiphyseal dysplasia (MED) is a rare genetic disorder (dominant form—1 in 10,000 births) which affects the growing ends of bones. Bones usually elongate by a process that involves the depositing of cartilage at the ends of the bones, called ossification. This cartilage then mineralizes and hardens to become bone. In MED, this process is defective."
366,Familial_colorectal_cancer,Colorectal cancer ,"Colorectal cancer (also known as colon cancer, rectal cancer or bowel cancer) is the development of cancer in the colon or rectum (parts of the large intestine).[1] It is due to the abnormal growth of cells that have the ability to invade or spread to other parts of the body.[2] Signs and symptoms may include blood in the stool, a change in bowel movements, weight loss, and feeling tired all the time.[3]"
367,Familial_hyperlipoproteinemia,Hyperlipidemia ,"Hyperlipidemia, hyperlipoproteinemia, or hyperlipidaemia (British English) involves abnormally elevated levels of any or all lipids and/or lipoproteins in the blood.[1] It is the most common form of dyslipidemia (which includes any abnormal lipid levels)."
368,Familial_Mediterranean_fever,Familial Mediterranean fever ,"Familial Mediterranean fever (FMF), also known as Armenian disease,[1][2] is a hereditary inflammatory disorder.[3]:149 FMF is an autoinflammatory disease caused by mutations in MEFV, a gene which encodes a 781–amino acid protein denoted pyrin.[4]"
369,Familial_periodic_paralysis,Periodic paralysis ,"Periodic paralysis (also known as Myoplegia paroxysmalis familiaris) is a group of rare genetic diseases that lead to weakness or paralysis (rarely death) from common triggers such as cold, heat, high carbohydrate meals, not eating, stress or excitement and physical activity of any kind. The underlying mechanism of these diseases are malfunctions in the ion channels in skeletal muscle cell membranes that allow electrically charged ions to leak in or out of the muscle cell, causing the cell to depolarize and become unable to move (a channelopathy)."
370,Familial_polyposis,Familial adenomatous polyposis ,"Familial adenomatous polyposis (FAP) is an inherited condition in which numerous adenomatous polyps form mainly in the epithelium of the large intestine. While these polyps start out benign, malignant transformation into colon cancer occurs when left untreated. Three variants are known to exist, FAP and attenuated FAP (originally called “hereditary flat adenoma syndrome[1]) are caused by APC gene defects and autosomal recessive FAP (or MYH-associated polyposis) is caused by MUTYH gene defects. Of the three, FAP itself is the most severe and most common; although for all three, the resulting colonic polyps and cancers are confined to the colon wall and removal can greatly reduce the spread of cancer."
371,Fanconi_anemia_type_2,Fanconi anemia ,"Fanconi anemia (FA) is a genetic disease with an incidence of 1 per 350,000 births, with a higher frequency in Ashkenazi Jews and Afrikaners in South Africa.[1]"
372,Fanconi_pancytopenia,Fanconi anemia ,"Fanconi anemia (FA) is a genetic disease with an incidence of 1 per 350,000 births, with a higher frequency in Ashkenazi Jews and Afrikaners in South Africa.[1]"
373,Fanconi_syndrome,Fanconi syndrome ,"Fanconi syndrome (also known as Fanconi's syndrome) is a disease of the proximal renal tubules[1] of the kidney in which glucose, amino acids, uric acid, phosphate and bicarbonate are passed into the urine, instead of being reabsorbed. Fanconi syndrome affects the proximal tubule, which is the first part of the tubule to process fluid after it is filtered through the glomerulus. It may be inherited, or caused by drugs or heavy metals.[2]"
374,Fascioliasis,Fasciolosis ,"Fasciolosis also known as fascioliasis, fasciolasis, distomatosis and liver rot, is an important helminth disease caused by two trematodes Fasciola hepatica (the common liver fluke) and Fasciola gigantica. This disease belongs to the plant-borne trematode zoonoses. In Europe, the Americas and Oceania only F. hepatica is a concern, but the distributions of both species overlap in many areas of Africa and Asia.[1]"
375,Febrile_seizure,Febrile seizure ,"A febrile seizure, also known as a fever fit or febrile convulsion, is an epileptic seizure associated with a high body temperature but without any serious underlying health issue. They most commonly occur in children between the ages of 6 months and 5 years.[1] Most seizures are less than five minutes in duration and the child is completely back to normal within sixty minutes of the event.[1][2]"
376,Fechtner_syndrome,Fechtner syndrome ,Fechtner syndrome is a variant of Alport syndrome with leukocyte inclusions and macrothrombocytopenia.[1]
